NO OK;SALES;TOKO;ALAMAT;DAERAH;PROGRAM;VB ONLINE;BIAYA;TANGGAL
;;BINTANG JAYA TEMBUNG;;Tembung;NAGATECH GOLD STORE SOLUTION FULL WEB BASED + NAGATECH MEMBER SOLUTION;;Rp900.000;13-Dec-2022
;;BERKAH CIHIDEUNG;;Cihideung;NAGATECH GOLD STORE SOLUTION FULL WEB BASED + NAGATECH MEMBER SOLUTION;;Rp900.000;28-Dec-2022
;;ASELI;;Lombok;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;04-Jan-2023
;;HIDUP PEMALANG;;Pemalang;NAGATECH GOLD STORE SOLUTION FULL WEB BASED + NAGATECH MEMBER SOLUTION;;Rp900.000;06-Jan-2023
;;BARES 8;;Muntilan;NAGATECH GOLD STORE SOLUTION FULL WEB BASED + NAGATECH MEMBER SOLUTION;;Rp900.000;10-Jan-2023
;;BARES 9;;Muntilan;NAGATECH GOLD STORE SOLUTION FULL WEB BASED + NAGATECH MEMBER SOLUTION;;Rp900.000;10-Jan-2023
;;NY OERIP;;Tuban;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;17-Jan-2023
;;DOLLAR C ALUN-ALUN;;Cicalengka;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;17-Jan-2023
;;HIDUP PUSAT BANJARAN 1;;Tegal;NAGATECH GOLD STORE SOLUTION FULL WEB BASED + NAGATECH MEMBER SOLUTION;;Rp900.000;18-Jan-2023
;;KERBAU CAB SODARA;;Weleri;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;19-Jan-2023
;;KERBAU CAB SODARA;;Weleri;JEWELRY CARE;;Rp500.000;19-Jan-2023
;;HARMONI;;Tasikmalaya;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;20-Jan-2023
;;BARES 7;;Muntilan;NAGATECH GOLD STORE SOLUTION FULL WEB BASED + NAGATECH MEMBER SOLUTION;;Rp900.000;27-Jan-2023
;;ARJUNA TEMANGGUNG 1;;Temanggung;NAGATECH GOLD STORE SOLUTION FULL WEB BASED + NAGATECH MEMBER SOLUTION;;Rp900.000;05-Jan-2023
;;ARJUNA TEMANGGUNG 2;;Temanggung;NAGATECH GOLD STORE SOLUTION FULL WEB BASED + NAGATECH MEMBER SOLUTION;;Rp900.000;05-Jan-2023
;;HIDUP PEMALANG 2;;Pemalang;NAGATECH GOLD STORE SOLUTION FULL WEB BASED + NAGATECH MEMBER SOLUTION;;Rp900.000;27-Jan-2023
;;UTAMI JEWELRY CARE;;Purbalingga;JEWELRY CARE;;Rp400.000;07-Feb-2023
;;UTAMI JEWELRY CARE;;Purbalingga;JEWELRY CARE;;Rp400.000;07-Feb-2023
;;UTAMI JEWELRY CARE;;Purbalingga;JEWELRY CARE;;Rp400.000;07-Feb-2023
;;UTAMI JEWELRY CARE;;Purbalingga;JEWELRY CARE;;Rp400.000;07-Feb-2023
;;UTAMI JEWELRY CARE;;Purbalingga;JEWELRY CARE;;Rp400.000;07-Feb-2023
;;BERKAH PASWET;;Tasikmalaya;NAGATECH GOLD STORE SOLUTION FULL WEB BASED + NAGATECH MEMBER SOLUTION;;Rp900.000;07-Feb-2023
;;BARES 10;;Muntilan;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;14-Feb-2023
;;BARES 6;;Muntilan;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;14-Feb-2023
;;JANGKAR KRIAN CABANG 1;;Sidoarjo;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;14-Feb-2023
;;RAMA SAKTI KROYA;;Kroya;NAGATECH GOLD STORE SOLUTION FULL WEB BASED + NAGATECH MEMBER SOLUTION;;Rp900.000;15-Feb-2023
;;TEBU (KERBAU GROUP);;Weleri;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;22-Feb-2023
;;BROTOSENO 1;;Nganjuk;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;22-Feb-2023
;;TEBU (KERBAU GROUP);;Weleri;JEWELRY CARE;;Rp500.000;23-Feb-2023
;;JB BERLIAN;;Medan;NAGATECH GOLD STORE SOLUTION FULL WEB BASED + NAGATECH DIAMOND SOLUTION;;Rp900.000;28-Feb-2023
;;OMEGA MADIUN CAB 3;;Madiun;NAGATECH GOLD STORE SOLUTION FULL WEB BASED + NAGATECH MEMBER SOLUTION;;Rp900.000;01-Mar-2023
;;WAHYU REDJO PUSAT;;Surabaya;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;01-Mar-2023
;;WAHYU GANESYA G3A G3B;;Surabaya;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;01-Mar-2023
;;WAHYU REDJO R22A R22B;;Surabaya;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;01-Mar-2023
;;WAHYU TRISNA T15;;Surabaya;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;01-Mar-2023
;;WAHYU REDJO R3A R3B;;Surabaya;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;01-Mar-2023
;;WAHYU GANESYA G4;;Surabaya;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;01-Mar-2023
;;WAHYU REDJO R5;;Surabaya;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;01-Mar-2023
;;WAHYU REDJO R35;;Surabaya;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;01-Mar-2023
;;WAHYU GANESYA G9;;Surabaya;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;01-Mar-2023
;;WAHYU GANESYA G15;;Surabaya;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;01-Mar-2023
;;WAHYU REDJO R42;;Surabaya;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;01-Mar-2023
;;WAHYU REDJO R43;;Surabaya;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;01-Mar-2023
;;WAHYU REDJO R33;;Surabaya;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;01-Mar-2023
;;WAHYU REDJO R47;;Surabaya;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;01-Mar-2023
;;WAHYU TRISNA T2A T2B;;Surabaya;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;01-Mar-2023
;;WAHYU TRISNA T9;;Surabaya;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;01-Mar-2023
;;WAHYU TRISNA T13;;Surabaya;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;01-Mar-2023
;;WAHYU TRISNA T14;;Surabaya;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;01-Mar-2023
;;WAHYU REDJO R38;;Surabaya;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;01-Mar-2023
;;WAHYU REDJO R21;;Surabaya;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;01-Mar-2023
;;WAHYU GANESYA G2;;Surabaya;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;01-Mar-2023
;;WAHYU GANESYA G6;;Surabaya;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;01-Mar-2023
;;WAHYU TRISNA T12;;Surabaya;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;01-Mar-2023
;;WAHYU GANESYA G11 A-B;;Surabaya;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;01-Mar-2023
;;WAHYU GANESYA G1A G1B;;Surabaya;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;01-Mar-2023
;;WAHYU GANESYA G14A G14B;;Surabaya;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;01-Mar-2023
;;WAHYU GANESYA G8A G8B;;Surabaya;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;01-Mar-2023
;;WAHYU GANESYA G5;;Surabaya;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;01-Mar-2023
;;WAHYU TRISNA T8;;Surabaya;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;01-Mar-2023
;;WAHYU TRISNA T6;;Surabaya;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;01-Mar-2023
;;WAHYU REDJO R7;;Surabaya;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;01-Mar-2023
;;WAHYU REDJO R2;;Surabaya;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;01-Mar-2023
;;WAHYU TRISNA T5;;Surabaya;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;01-Mar-2023
;;WAHYU REDJO R1;;Surabaya;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;01-Mar-2023
;;WAHYU TRISNA T3;;Surabaya;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;01-Mar-2023
;;WAHYU TRISNA T1;;Surabaya;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;01-Mar-2023
;;WAHYU TRISNA T4;;Surabaya;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;01-Mar-2023
;;WAHYU REDJO R12;;Surabaya;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;01-Mar-2023
;;WAHYU REDJO R25;;Surabaya;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;01-Mar-2023
;;WAHYU REDJO R8;;Surabaya;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;01-Mar-2023
;;WAHYU NURGALUH N2;;Surabaya;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;01-Mar-2023
;;WAHYU REDJO R11;;Surabaya;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;01-Mar-2023
;;WAHYU GANESYA G12;;Surabaya;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;01-Mar-2023
;;WAHYU REDJO R19;;Surabaya;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;01-Mar-2023
;;WAHYU REDJO R16;;Surabaya;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;01-Mar-2023
;;WAHYU REDJO R17;;Surabaya;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;01-Mar-2023
;;WAHYU REDJO R45;;Surabaya;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;01-Mar-2023
;;WAHYU REDJO R24;;Surabaya;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;01-Mar-2023
;;WAHYU TRISNA T7;;Surabaya;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;01-Mar-2023
;;WAHYU REDJO R9;;Surabaya;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;01-Mar-2023
;;WAHYU REDJO R26;;Surabaya;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;01-Mar-2023
;;WAHYU GANESYA G7;;Surabaya;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;01-Mar-2023
;;WAHYU TRISNA T10;;Surabaya;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;01-Mar-2023
;;WAHYU REDJO R20;;Surabaya;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;01-Mar-2023
;;WAHYU GANESYA G13;;Surabaya;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;01-Mar-2023
;;WAHYU TRISNA T11;;Surabaya;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;01-Mar-2023
;;WAHYU REDJO R31;;Surabaya;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;01-Mar-2023
;;WAHYU REDJO R34;;Surabaya;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;01-Mar-2023
;;WAHYU REDJO R48;;Surabaya;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;01-Mar-2023
;;WAHYU REDJO R37;;Surabaya;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;01-Mar-2023
;;WAHYU REDJO R14;;Surabaya;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;01-Mar-2023
;;WAHYU REDJO R23A R23B;;Surabaya;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;01-Mar-2023
;;WAHYU REDJO R28A R28B;;Surabaya;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;01-Mar-2023
;;WAHYU REDJO R29A R29B;;Surabaya;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;01-Mar-2023
;;WAHYU REDJO R41;;Surabaya;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;01-Mar-2023
;;WAHYU REDJO R30A R30B;;Surabaya;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;01-Mar-2023
;;WAHYU REDJO R39;;Surabaya;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;01-Mar-2023
;;WAHYU REDJO R40;;Surabaya;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;01-Mar-2023
;;WAHYU REDJO R46;;Surabaya;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;01-Mar-2023
;;WAHYU REDJO R49;;Surabaya;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;01-Mar-2023
;;WAHYU REDJO R6A R6B;;Surabaya;NAGATECH GOLD STORE SOLUTION FULL WEB BASED ;;Rp900.000;01-Mar-2023
;;WAHYU REDJO R10;;Surabaya;NAGATECH GOLD STORE SOLUTION FULL WEB BASED ;;Rp900.000;01-Mar-2023
;;WAHYU REDJO R13;;Surabaya;NAGATECH GOLD STORE SOLUTION FULL WEB BASED ;;Rp900.000;01-Mar-2023
;;WAHYU REDJO R15;;Surabaya;NAGATECH GOLD STORE SOLUTION FULL WEB BASED ;;Rp900.000;01-Mar-2023
;;WAHYU REDJO R18A R18B;;Surabaya;NAGATECH GOLD STORE SOLUTION FULL WEB BASED ;;Rp900.000;01-Mar-2023
;;WAHYU REDJO R27A R27B;;Surabaya;NAGATECH GOLD STORE SOLUTION FULL WEB BASED ;;Rp900.000;01-Mar-2023
;;WAHYU REDJO R32;;Surabaya;NAGATECH GOLD STORE SOLUTION FULL WEB BASED ;;Rp900.000;01-Mar-2023
;;WAHYU REDJO R36;;Surabaya;NAGATECH GOLD STORE SOLUTION FULL WEB BASED ;;Rp900.000;01-Mar-2023
;;WAHYU REDJO R44;;Surabaya;NAGATECH GOLD STORE SOLUTION FULL WEB BASED ;;Rp900.000;01-Mar-2023
;;WAHYU REDJO R50;;Surabaya;NAGATECH GOLD STORE SOLUTION FULL WEB BASED ;;Rp900.000;13-Mar-2023
;;WAHYU GANESYA G10;;Surabaya;NAGATECH GOLD STORE SOLUTION FULL WEB BASED ;;Rp900.000;01-Mar-2023
;;WAHYU NURGALUH N1;;Surabaya;NAGATECH GOLD STORE SOLUTION FULL WEB BASED ;;Rp900.000;02-Mar-2023
;;SUKA INDAH TGR;;Tangerang;NAGATECH GOLD STORE SOLUTION FULL WEB BASED + NAGATECH MEMBER SOLUTION;;Rp900.000;14-Mar-2023
;;JANGKAR KRIAN CABANG 2;;Sidoarjo;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;15-Mar-2023
;;REDJO MULYO;;Purbalingga;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;16-Mar-2023
;;BINTANG 9 PUSAT;;;NAGATECH GOLD STORE HQ SOLUTION;;Rp900.000;20-Mar-2023
;;BINTANG 9 WONOSARI;;;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;20-Mar-2023
;;PANTES KARANGGETAS;;Cirebon;NAGATECH GOLD STORE SOLUTION FULL WEB BASED + NAGATECH MEMBER + NAGATECH DIAMOND SOLUTION;;Rp1.000.000;30-Mar-2023
;;BENUA JAYA CAB PAMERAN;;;NAGATECH GOLD STORE SOLUTION FULL WEB BASED + NAGATECH MEMBER SOLUTION;;Rp900.000;29-Mar-2023
;;SAMBAS BELIK 3;;Pemalang;NAGATECH GOLD STORE SOLUTION FULL WEB BASED + NAGATECH MEMBER SOLUTION;;Rp900.000;31-Mar-2023
;;VICTORIA VICI;;Sumatera Utara;NAGATECH GOLD STORE SOLUTION FULL WEB BASED + NAGATECH MEMBER + NAGATECH DIAMOND SOLUTION;;Rp1.000.000;05-Apr-2023
;;DEWI TASIK;;Tasikmalaya;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;03-May-2023
;;PADASUKA;;Balaraja;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;08-May-2023
;;GAJAH MURAH REZEKI;;Jember;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;04-May-2023
;;BENUA JAYA PAMANUKAN;;Pamanukan;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;09-May-2023
;;SUBUR 1;;Nganjuk;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;15-May-2023
;;MEKAR;;Cikarang;NAGATECH GOLD STORE SOLUTION FULL WEB BASED + NAGATECH MEMBER SOLUTION;;Rp900.000;08-May-2023
;;JAKARTA;;Pamanukan;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;16-May-2023
;;PESONA RAYA;;Kendal;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;24-May-2023
;;PESONA RAYA JEWELRY CARE;;Kendal;JEWELRY CARE;;Rp500.000;24-May-2023
;;ARJUNA PUTRA EXTERNAL;;Jatibarang;EXTERNAL;;Rp500.000;12-May-2023
;;FANCY JEWELLERY;;;NAGATECH GOLD STORE SOLUTION FULL WEB BASED + NAGATECH DIAMOND SOLUTION;;Rp900.000;08-Jun-2023
;;KENDI REMBANG;;Pamotan;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;13-Jun-2023
;;PUTERA PWT;;;NAGATECH GOLD STORE SOLUTION FULL WEB BASED + NAGATECH MEMBER SOLUTION;;Rp900.000;09-Jun-2023
;;BAGONG MUNTILAN CJM;;;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;07-Jun-2023
;;PANTES CSB VDC DIAMOND;;;DIAMOND;;Rp200.000;16-Jun-2023
;;BAGONG MUNTILAN PEMUDA PUSAT;;;NAGATECH GOLD STORE HQ SOLUTION;;Rp900.000;07-Jun-2023
;;KITA PAMANUKAN;;;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;06-Jun-2023
;;ASELI LOMBOK EXTERNAL;;;EXTERNAL;;Rp500.000;14-Jun-2023
;;SAMI AJI 1;;;VB ONLINE;;Rp500.000;06-Jun-2023
;;SAMI AJI 2;;;VB ONLINE;;Rp500.000;06-Jun-2023
;;KERBAU SUKOREJO;;;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;16-Jun-2023
;;KERBAU SUKOREJO JEWELRY CARE;;;JEWELRY CARE;;Rp500.000;16-Jun-2023
;;KRESNO WHATSAPP OTP;;;WHATSAPP OTP;;Rp300.000;15-Jun-2023
;;TRINUSA (AYU CAB 2);;;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;07-Jul-2023
;;BINTANG 9  KOTAGEDE;;;NAGATECH GOLD STORE SOLUTION FULL WEB BASED + NAGATECH MEMBER SOLUTION;;Rp900.000;19-Jul-2023
;;KERBAU SUBAH;;;NAGATECH GOLD STORE SOLUTION FULL WEB BASED + NAGATECH MEMBER SOLUTION;;Rp900.000;14-Jul-2023
;;KERBAU SUBAH JEWELRY CARE;;;JEWELRY CARE;;Rp500.000;14-Jul-2023
;;NOOR FINE JEWELLERY;;;NAGATECH GOLD STORE SOLUTION FULL WEB BASED + NAGATECH MEMBER SOLUTION;;Rp900.000;03-Jul-2023
;;SINANJUNG JAYA 2;;;NAGATECH GOLD STORE SOLUTION FULL WEB BASED + NAGATECH MEMBER SOLUTION;;Rp900.000;04-Jul-2023
;;OMEGA CAB 4;;MADIUN;NAGATECH GOLD STORE SOLUTION FULL WEB BASED + NAGATECH MEMBER SOLUTION;;Rp900.000;01-Jul-2023
;;SEMAR GOLD 1 EXTERNAL;;;EXTERNAL;;Rp500.000;12-Jul-2023
;;SEMAR GOLD 3 EXTERNAL;;;EXTERNAL;;Rp500.000;13-Jul-2023
;;SUBUR 1 PUSAT;;;NAGATECH GOLD STORE HQ SOLUTION;;Rp1.000.000;16-Jul-2023
;;WAHYU REDJO R51;;;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;17-Jul-2023
;;BERKAH DIAMOND;;;DIAMOND;;Rp900.000;01-Aug-2023
;;SENI JAYA;;KENDARI;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;09-Aug-2023
;;GOLDEN SGC;;;NAGATECH GOLD STORE SOLUTION FULL WEB BASED + NAGATECH MEMBER SOLUTION;;Rp900.000;01-Aug-2023
;;BENUA JAYA ALAM SUTERA;;  ;NAGATECH GOLD STORE SOLUTION FULL WEB BASED + NAGATECH MEMBER SOLUTION;;Rp900.000;10-Aug-2023
;;SURABAYA;;TASIKMALAYA;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;03-Aug-2023
;;NY OERIP MUDA CAB 2;;;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;15-Aug-2023
;;PELANGI CIREBON;;;NAGATECH GOLD STORE SOLUTION LITE WEB BASED + NAGATECH MEMBER SOLUTION;;Rp800.000;08-Aug-2023
;;SAHABAT GOLD;;KUPANG;VB ONLINE;;Rp900.000;20-Aug-2023
;;ELCO 3;;;VB ONLINE;;Rp1.000.000;22-Aug-2023
;;GAJAH CIKARANG;;;NAGATECH GOLD STORE SOLUTION LITE WEB BASED;;Rp800.000;31-Aug-2023
;;WAHYU REDJO GROUP (40) 500RIBU;;;EXTERNAL;;Rp20.000.000;31-Aug-2023
;;GAJAH CIKARANG;;;EXTERNAL;;Rp500.000;31-Aug-2023
;;GOLDEN CAB 2 JABABEKA;;;NAGATECH GOLD STORE SOLUTION FULL WEB BASED + NAGATECH MEMBER SOLUTION;;Rp900.000;06-Sep-2023
;;ANEKA PATI;;;NAGATECH GOLD STORE SOLUTION LITE WEB BASED;;Rp800.000;05-Sep-2023
;;KERBAU PEGADON JEWELRY CARE;;;JEWELRY CARE;;Rp500.000;01-Sep-2023
;;KERBAU PEGADON;;;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;01-Sep-2023
;;ITALY BANDUNG;;;NAGATECH GOLD STORE SOLUTION FULL WEB BASED + NAGATECH MEMBER SOLUTION;;Rp900.000;04-Sep-2023
;;SINAR JAYA;;;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;11-Sep-2023
;;MACAN CIMAHI CAB 1;;;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;12-Sep-2023
;;CANTIK BATAM;;;NAGATECH GOLD STORE SOLUTION FULL WEB BASED + NAGATECH MEMBER SOLUTION;;Rp900.000;12-Sep-2023
;;SAMBAS WANADADI;;;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;15-Sep-2023
;;KERBAU PUSAT JEWELRY CARE;;;JEWELRY CARE;;Rp500.000;20-Sep-2023
;;KERBAU PUSAT;;;NAGATECH GOLD STORE SOLUTION FULL WEB BASED + NAGATECH MEMBER SOLUTION;;Rp900.000;20-Sep-2023
;;KRESNO JEPARA;;;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;20-Sep-2023
;;MACAN CIMAHI PUSAT;;;NAGATECH GOLD STORE HQ SOLUTION;;Rp900.000;21-Sep-2023
;;KRESNO BERLIAN;;;DIAMOND;;Rp1.000.000;19-Sep-2023
;;HIDUP SA ONLINE;;;NAGATECH GOLD STORE SOLUTION FULL WEB BASED + NAGATECH MEMBER SOLUTION;;Rp900.000;05-Sep-2023
;;SINANJUNG JAYA GRACE;;;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;04-Oct-2023
;;MACAN CIMAHI CAB 2;;;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;06-Oct-2023
;;BAGONG (SEMAR KRIAN GROUP);;;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;10-Oct-2023
;;GAJAH KAJEN;;;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;11-Oct-2023
;;BAGONG MUNTILAN EXTERNAL;;;EXTERNAL;;Rp500.000;13-Oct-2023
;;BAGONG MUNTILAN;;;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;13-Oct-2023
;;SAHABAT KUPANG RFID;;;NAGATECH GOLD STOCK CHECKING SOLUTION (RFID);;Rp400.000;08-Oct-2023
;;MACAN CIMAHI CAB 3;;;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;10-Oct-2023
;;NORI;;;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;17-Oct-2023
;;MACAN CIMAHI CAB 4;;;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;18-Oct-2023
;;MACAN CIMAHI CAB 5;;;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;25-Oct-2023
;;MAWAR MURNI PUTERA KEBUMEN;;;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;31-Oct-2023
;;NEW LILY;;;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;15-Oct-2023
;;JAYA ABADI 1;;;NAGATECH GOLD STORE SOLUTION FULL WEB BASED + NAGATECH MEMBER SOLUTION;;Rp900.000;15-Oct-2023
;;PALACIO;;;NAGATECH GOLD STORE SOLUTION FULL WEB BASED + NAGATECH DIAMOND SOLUTION;;Rp900.000;08-Nov-2023
;;MACAN CIMAHI JEWELRY CARE;;;JEWELRY CARE;;Rp500.000;13-Nov-2023
;;LARIS JEWELLERY;;;NAGATECH GOLD STORE SOLUTION FULL WEB BASED + NAGATECH MEMBER + NAGATECH DIAMOND SOLUTION;;Rp1.000.000;02-Nov-2023
;;GAJAH SAKTI PURWOKERTO;;;NAGATECH GOLD STORE SOLUTION FULL WEB BASED + NAGATECH MEMBER SOLUTION;;Rp900.000;22-Nov-2023
;;KERBAU BAWANG;;;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;27-Nov-2023
;;KERBAU BAWANG JEWELRY CARE;;;JEWELRY CARE;;Rp500.000;27-Nov-2023
;;DELIMA PAMANUKAN;;;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;27-Nov-2023
;;PANTES KADIPATEN;;;NAGATECH GOLD STORE SOLUTION FULL WEB BASED + NAGATECH MEMBER + NAGATECH DIAMOND SOLUTION;;Rp1.000.000;02-Dec-2023
;;33A;;;NAGATECH GOLD STORE SOLUTION LITE WEB BASED;;Rp800.000;12-Dec-2023
